I;;390;14;1;A;3-STAR;SXZ1041;CAMION;1500000;;;;;;;;;;;;;;;;;;;;65;63;60;;
I;;390;14;2;A;3-STAR;SXZ1041P;CAMION;;;;;;;;;;;;;;;;;;;;;65;60;55;;
I;;390;14;5;A;3-STAR;SXZ1045B;CAMION;;;;;;;;;;;;;;;;;;;80;75;70;65;61;;
I;;390;14;9;A;3-STAR;SXZ1045BD;CAMION;;;;;;;;;;;;;;;;;;;;75;70;65;61;;
I;;390;14;10;A;3-STAR;SXZ1045BDW  (CABINA DOBLE);CAMION;;;;;;;;;;;;;;;;;;;80;75;68;66;62;;
I;;390;14;12;A;3-STAR;SXZ1047;CAMION;;;;;;;;;;;;;;;;;;85;80;75;70;;;;
I;;390;14;13;A;3-STAR;SXZ1047W;CAMION;;;;;;;;;;;;;115;110;105;100;95;90;85;80;75;;;;
I;;390;14;3;A;3-STAR;SXZ3041;CAMION;;;;;;;;;;;;;;;;;;;;;70;65;;;
I;;390;14;6;A;3-STAR;SXZ3041B;CAMION;;;;;;;;;;;;;;;;;;;;75;70;65;;;
I;;390;14;11;A;3-STAR;SXZ3043;CAMION;;;;;;;;;;;;;125;120;115;110;85;83;82;81;80;78;73;;
I;;174;10;11;A;ACURA;MDX 3.5L;TODO TERRENO;;;;;;;;;;;;;;;135;132;130;128;126;124;122;;;;
I;;174;10;10;A;ACURA;MDX 3.7L;TODO TERRENO;;;;;;;;;;;;;;;135;132;130;128;126;124;122;;;;
N;46;79;26;5;A;AGRALE;6000;CHASIS C/CABINA;675;560,25;500;460;420;390;375;360;340;320;300;;;;;;;;;;;;;;
I;;80;17;52;A;AGRALE;6000;CHASIS C/CABINA;675;560,25;500;460;420;390;375;360;340;320;300;;;;;;;;;;;;;;
I;;80;17;55;A;AGRALE;7500;CHASIS C/CABINA;;;;;;;400;375;350;320;290;;;;;;;;;;;;;;
N;46;79;99;6;A;AGRALE;7500;SIN ESPECIFICACION;;;;;;;400;375;350;320;290;;;;;;;;;;;;;;
I;;80;14;53;A;AGRALE;8500;CAMION;;;;;;;;;;;270;240;220;;;;128;120;;;;;;;
N;46;79;26;8;A;AGRALE;8500;CHASIS C/CABINA;743,5;560;520;490;460;430;400;;;;;;;;;;;;;;;;;;
I;;80;17;53;A;AGRALE;8500;CHASIS C/CABINA;;;590;550;510;470;430;390;360;330;300;;;;;;;;;;;;;;
I;;80;17;89;A;AGRALE;8700;CHASIS C/CABINA;740,9;614,98;;;;;;;;;;;;;;;;;;;;;;;
I;;80;14;54;A;AGRALE;9200;CAMION;885,9;720;670;630;590;545;505;475;430;390;360;;;;;;;;;;;;;;
N;46;79;26;9;A;AGRALE;9200;CHASIS C/CABINA;885,9;720;670;630;590;545;505;475;430;390;360;;;;;;;;;;;;;;
I;;80;17;54;A;AGRALE;9200;CHASIS C/CABINA;885,9;720;670;630;590;545;505;475;430;390;360;;;;;;;;;;;;;;
I;;80;17;87;A;AGRALE;10000;CHASIS C/CABINA;841,5;698,42;;;;;;;;;;;;;;;;;;;;;;;
N;46;79;23;15;A;AGRALE;13000;CAMION;1.045.000;800;750;700;650;600;565;520;480;450;;;;;;;;;;;;;;;
I;;80;17;58;A;AGRALE;13000;CHASIS C/CABINA;1.045.000;800;750;700;650;600;565;520;480;450;;;;;;;;;;;;;;;
I;;80;17;88;A;AGRALE;14000;CHASIS C/CABINA;975,9;780,72;;;;;;;;;;;;;;;;;;;;;;;
I;;80;17;90;A;AGRALE;14000 6X2;CHASIS C/CABINA;1.074.500;859,6;;;;;;;;;;;;;;;;;;;;;;;
I;;80;17;20;A;AGRALE;6000 CD;CHASIS C/CABINA;;;;;;;;;;;270;240;220;;190;180;170;;;;;;;;
I;;80;17;18;A;AGRALE;6000D;CHASIS C/CABINA;;;;;;;;;;;250;220;200;;150;130;118;110;;;;;;;
N;46;79;26;7;A;AGRALE;7500 CD;CHASIS C/CABINA;;;;;;;420;395;370;345;315;;;;;;;;;;;;;;
I;;80;17;57;A;AGRALE;7500 CD;CHASIS C/CABINA;;;;;;;400;375;350;320;290;;;;;;;;;;;;;;
I;;80;17;69;A;AGRALE;8500 CD;CHASIS C/CABINA;849,5;590;550;520;495;475;450;;;;;;;;;;;;;;;;;;
I;;80;17;68;A;AGRALE;8500 CE;CHASIS C/CABINA;;;590;550;510;470;430;390;360;330;300;;;;;;;;;;;;;;
I;;80;17;38;A;AGRALE;8500 TCA;CHASIS C/CABINA;;;;;;;;;;;270;240;220;;;;128;120;;;;;;;
I;;80;17;12;A;AGRALE;8500 TURBO;CHASIS C/CABINA;;;;;;;;;;;270;240;220;;;;128;120;;;;;;;
N;46;79;26;12;A;AGRALE;8500CD;CHASIS C/CABINA;849,5;590;550;520;495;475;450;;;;;;;;;;;;;;;;;;
I;;80;17;39;A;AGRALE;9200 TCA;CHASIS C/CABINA;;;;;;;;;;;330;320;310;;;;;;;;;;;;
N;46;79;26;22;A;AGRALE;A 10000;CHASIS CON CABINA;799,4;663,502;;;;;;;;;;;;;;;;;;;;;;;
N;46;79;26;23;A;AGRALE;A 8700;CHASIS CON CABINA;699,9;580,876;;;;;;;;;;;;;;;;;;;;;;;
I;;80;17;83;A;AGRALE;A10000;CHASIS C/CABINA;799,4;663,502;;;;;;;;;;;;;;;;;;;;;;;
I;;80;17;82;A;AGRALE;A7500;CHASIS C/CABINA;672;557,76;;;;;;;;;;;;;;;;;;;;;;;
I;;80;17;84;A;AGRALE;A8700;CHASIS C/CABINA;699,9;580,876;;;;;;;;;;;;;;;;;;;;;;;
I;;80;13;37;A;AGRALE;FURGOVAN 6000;FURGON;;;;;;;;;;;290;260;240;;;;;;;;;;;;
I;;80;16;51;A;AGRALE;MA 8.5;CHASIS S/CABINA;620;;;;;;;;;;;;;;;;;;;;;;;;
I;;80;11;61;A;AGRALE;MARRUA AM 100;PICK-UP;;;848;784;736;;;;;;;;;;;;;;;;;;;;
I;;80;17;60;A;AGRALE;MARRUA AM 150 CD;CHASIS C/CABINA;;;960;896;;;;;;;;;;;;;;;;;;;;;
N;46;79;25;1;A;AGRALE;MT 15.0 LE;CHASIS S/CABINA;1.002.800;;;;;;;;;;;;;;;;;;;;;;;;
N;46;79;25;19;A;AGRALE;MT 15.0 LE V 5500 6.7 5 226 AUTR;CHASIS SIN CABINA;1.018.400;;;;;;;;;;;;;;;;;;;;;;;;
I;;80;15;22;A;AGRALE;VOLARE A8;TRANS.DE PASAJEROS;;;;;;;;;;480;400;320;240;176;;;;;;;;;;;
I;;M79;22;1;A;AIXAM;CROSSLINE;SEDAN 3 PUERTAS;;;;;;;;;134,4;129,6;123,2;;;;;;;;;;;;;;
I;;4;2;19;A;ALFA ROMEO;33;SEDAN 4 PUERTAS;;;;;;;;;;;;;;;;;;;;;49;48,5;48;47,5;
